1,Peru,939,4/23/2017,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,Yearly,5916,66244.3,9,0
2,China,920,11/2/2017,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,Yearly,5446,80466.38,1,0
3,China,797,3/11/2017,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,Yearly,5957,60446.66,4,0
4,Brazil,709,10/17/2017,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,Seldom,5863,63920.06,8,0
5,China,870,2/23/2017,arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor,Once,5523,89612.11,8,0
6,China,833,12/8/2017,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in,Daily,5676,40276.85,5,0
7,South Africa,990,10/17/2017,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla,Seldom,5773,74213.62,10,0
8,China,800,2/24/2017,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,Daily,5454,74544.75,8,0
9,Brazil,976,6/6/2017,ultrices mattis odio donec vitae nisi nam ultrices libero non,Weekly,5112,84514.11,1,0
10,Japan,718,11/1/2017,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,Seldom,5030,92002.13,3,0
11,Peru,903,11/3/2017,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,Seldom,5845,86933.52,9,0
12,Malta,754,3/17/2017,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae,Seldom,5540,88397.2,9,0
13,Argentina,820,8/16/2017,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,Daily,5770,87011.97,8,0
14,Venezuela,995,4/4/2017,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,Often,5829,57874.25,11,0
15,Brazil,794,7/2/2017,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,Yearly,5870,90659.8,8,0
16,Vietnam,930,7/13/2017,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor,Weekly,5164,91475.76,3,0
17,Venezuela,769,4/14/2017,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede,Daily,5659,82370.69,1,0
18,Indonesia,868,9/29/2017,phasellus in felis donec semper sapien a libero nam dui proin leo,Weekly,5717,45140.37,9,0
19,Argentina,765,11/8/2017,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,Once,5522,86847.22,2,0
20,Indonesia,923,7/2/2017,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et,Seldom,5981,86774.41,11,0
21,Palestinian Territory,828,9/26/2017,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,Yearly,5009,89703.19,3,0
22,Sweden,929,3/18/2017,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,Often,5320,49930.06,12,0
23,Finland,929,9/22/2017,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,Seldom,5700,87944.43,1,0
24,China,718,6/18/2017,felis donec semper sapien a libero nam dui proin leo,Once,5530,89937.65,2,0
25,Honduras,799,9/13/2017,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,Daily,5298,48020.14,2,0
26,Croatia,997,10/24/2017,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,Yearly,5114,55140.71,9,0
27,United States,873,9/28/2017,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in,Weekly,5426,83872.91,6,0
28,Argentina,923,11/20/2017,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,Daily,5861,85822.31,8,0
29,Afghanistan,786,9/3/2017,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,Monthly,5742,95797.01,7,0
30,China,880,9/16/2017,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,Often,5420,52283.34,8,0
31,Poland,832,4/14/2017,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam,Daily,5390,61177.74,11,0
32,Thailand,979,4/19/2017,quam pharetra magna ac consequat metus sapien ut nunc vestibulum,Yearly,5672,56963.32,5,0
33,China,843,7/25/2017,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,Once,5280,97557.92,4,0
34,Armenia,895,3/16/2017,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt,Daily,5984,80251.29,6,0
35,China,764,9/20/2017,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras,Often,5791,83215.63,11,0
36,Indonesia,909,8/13/2017,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,Monthly,5964,52749.16,6,0
37,Philippines,902,5/30/2017,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,Often,5108,90023.25,8,0
38,Tanzania,972,3/17/2017,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,Yearly,5843,54341.46,6,0
39,Azerbaijan,906,9/5/2017,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,Once,5752,43593.26,1,0
40,China,820,2/23/2017,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,Yearly,5655,48830.93,3,0
41,Indonesia,842,2/23/2017,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,Daily,5623,93452.43,12,0
42,Portugal,844,10/23/2017,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,Once,5831,82261.02,6,0
